,hungrybox,,plup,,armada,,leffen,,mew2king,,mango,,wizzrobe,,amsa,,zain,,axe,,sfat,,crush,,s2j,,lucky,,hugs,,swedish_delight,,pewpewu,,westballz,,n0ne,,duck,,llod,,absentpage,,ryan_ford,,kjh,,shroomed,,army,,la_luna,,syrox,,trif,,captain_smuckers,,colbol,,ibdw,,bananas,,ginger,,ice,,rishi,,mike_haze,,bladewise,,captain_faceroll,,junebug,,kalamazhu,,2saint,,slox,,gahtzu,,michael,,moky,,santiago,,professor_pro,,medz,,over_triforce,,chudat,,druggedfox,,dizzkidboogie,,kirby_kaze,,nintendude,,prince_abu,,amsah,,android,,hax,,kage,,macd,,laudandus,
santiago,,,,,0,1,,,,,,,,,,,0,1,,,0,3,,,,,1,0,,,,,0,1,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
professor_pro,,,,,,,0,1,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,,,,,,,,,,,,,1,0,,,,,,,,
medz,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,0,1,,,,,0,2,0,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
overtriforce,0,1,,,,,1,3,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,0,1,1,0,,,2,6,0,1,,,0,1,,,,,2,3,1,0,,,,,,,1,0,,,,,4,2,,,,,,,,,2,3,,,,,0,3,,,,,,,,,,,1,1,1,0,0,1,,,,,,
chudat,0,1,,,0,2,0,1,,,,,,,,,,,,,,,0,1,,,,,1,0,0,1,,,1,0,,,,,0,1,0,1,,,,,0,1,1,0,0,1,,,,,,,,,,,1,1,,,4,2,,,0,1,,,,,2,0,1,0,,,1,0,,,,,0,1,0,1,0,1,,,3,0,,,,,,,,,,,,,,,1,0,,,,,,,,
druggedfox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dizzkidboogie,,,0,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
kirbykaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nintendude,,,,,0,1,,,,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,,,0,1,0,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,0,1,,,,,0,1,,,,,,,1,0,,,,,,,1,2,,,,,,,,,,,,,,,,,0,1
prince abu,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,0,2,0,1,,,0,1,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amsah,,,0,1,,,,,,,,,,,,,0,1,,,,,,,,,0,1,,,0,2,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
android,,,,,0,2,,,,,,,,,,,,,0,1,,,,,,,0,1,,,,,,,,,0,1,,,,,0,2,,,,,,,0,1,,,,,,,,,,,1,1,,,,,0,1,0,1,,,1,0,,,,,,,,,,,,,,,,,,,0,1,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
hax,0,1,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,1,0,,,0,1,,,0,2,,,0,4,4,5,,,0,2,,,0,1,,,4,0,1,0,,,,,,,,,0,1,0,1,1,0,,,0,2,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
kage,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,4,,,0,1,,,,,,,,,,,,,,,,,1,0,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macd,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laudandus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
